Name,Brand,Color,Fuel,Gearbox,Year,Km,Fuel_consumption,Co2_emission,Doors,Price
Opel Crossland,Opel,Orange,Essence,Automatique,2020,29900,6.2,141,4,19 399
Kia Sportage,Kia,Rouge Rubis,Diesel,Automatique,2019,61355,4.7,119,5,19 499
Mini Countryman,Mini,BLU,Diesel,Automatique,2018,105245,4.9,130,5,21 999
Jeep Compass,Jeep,Gris Clair,Diesel,Manuelle,2020,62014,4.1,122,5,20 099
Ford Kuga,Ford,,Diesel,Manuelle,2019,74787,,,,18 636
Volkswagen Passat SW,Volkswagen,Electric blue,Diesel,Manuelle,2019,116368,4.3,113,5,20 399
Opel Grandland X,Opel,Bleu Galapagos,Essence,Manuelle,2019,27766,6.2,118,5,18 499
BMW Série 1,BMW,Silber Metallic,Diesel,Manuelle,2021,83170,4.9,120,5,19 499
Ford ECOSPORT,Ford,,Essence,Manuelle,2022,12260,,,,18 099
Volkswagen T-Roc,Volkswagen,Weiß Metallic,Diesel,Manuelle,2019,42172,5.6,146,5,21 199
Mercedes GLA,Mercedes,Noir,Diesel,Automatique,2018,71019,6.1,130,5,26 999
BMW X1,BMW,Nero,Diesel,Automatique,2019,101299,4.8,126,5,25 699
Renault Espace 5,Renault,Noir Etoile,Diesel,Automatique,2019,102778,5.3,139,5,22 999
Opel Astra,Opel,Gris,Essence,Manuelle,2021,22400,5.4,126,4,18 999
Volkswagen T-CROSS,Volkswagen,Rauchgrau,Essence,Manuelle,2021,4900,6.1,136,5,20 499
Mitsubishi ECLIPSE CROSS,Mitsubishi,Gris,Hybride essence rechargeable,Auto...,2022,11931,2,46,5,30 799
Volvo XC40,Volvo,Bleu Eclatant/ Toit Noir,Essence,Automatique,2020,29000,7.3,166,5,30 999
Renault Mégane E-TECH,Renault,Gris Schiste / Toit Noir Etoilé,Electrique,Automatique,2022,11269,0.0,0,5,33 499
Tesla MODEL 3,Tesla,Noir Uni,Electrique,Automatique,2019,46912,0.0,0,4,31 999
Skoda Kamiq,Skoda,Bleu Titan,Essence,Automatique,2021,35391,5.5,133,5,21 299
BMW Série 5,BMW,Bleu,Essence,Automatique,2017,27558,6.5,154,4,39 999
Kia XCEED,Kia,Blanc Platine,Hybride essence rechargeable,Auto...,2021,28834,1.7,38,5,23 499
Peugeot 508,Peugeot,Gris Platinium,Diesel,Automatique,2021,20640,4,120,5,24 999
Citroën Jumper Fourgon,Citroën,Blanc,Diesel,Manuelle,2022,10,9,240,5,35 399
Skoda Karoq,Skoda,Gris Business,Essence,Automatique,2021,52030,6,144,5,24 999
DS DS7 CROSSBACK,DS,Blanc Banquise,Essence,Automatique,2021,26918,5,157,5,30 999
Land Rover Range Rover Evoque,Land,Blanc Fuji,Essence,Automatique,2021,26515,10.1,196,5,43 999
DS DS4,DS,Cristal Pearl / Noir Perla Nera,Diesel,Automatique,2023,9722,3,127,5,29 999
Seat Ateca,Seat,Grau Metallic,Diesel,Automatique,2021,30322,5.2,137,5,29 199
Cupra Formentor,Cupra,Blanc Candy,Hybride essence rechargeable,Auto...,2021,20265,1.5,32,5,31 399
Audi Q5,Audi,Daytonagrau,Diesel,Automatique,2020,30000,6.7,173,5,47 999
Toyota RAV 4,Toyota,Noir,Hybride essence,Automatique,2022,58061,N/A,126,5,31 999
BMW X1,BMW,Saphirschwarz métallisé,Essence,Automatique,2022,21738,6.5,147,5,33 999
Renault Captur,Renault,Gris Cassiopée/Noir Etoile,Diesel,Manuelle,2017,113785,3.6,95,5,11 999
BMW Série 2 Active Tourer,BMW,Saphirschwarz,Essence,Automatique,2022,14568,6,146,5,34 499
Dacia SPRING,Dacia,Gris Eclair,Electrique,Automatique,2022,13180,0.0,0,5,14 499
Renault Kadjar,Renault,Bleu Cosmos,Diesel,Manuelle,2017,90038,4.5,117,5,14 499
BMW X3,BMW,Brown,Diesel,Automatique,2019,57042,5.1,143,5,35 476
Volvo XC90,Volvo,Gris Tonnerre,Hybride essence rechargeable,Auto...,2020,35208,N/A,69,5,54 999
Peugeot 308 SW,Peugeot,Gris Artense,Diesel,Manuelle,2016,82526,3.6,94,5,12 999
Skoda Superb Combi,Skoda,Black,Diesel,Automatique,2023,24855,5.3,135,5,38 599
Renault Twingo 3,Renault,Blanc Quartz,Essence,Manuelle,2020,30699,5.3,120,5,10 299
BMW Série 3,BMW,Mineralgrau,Hybride essence rechargeable,Auto...,2020,27422,1.7,34,4,39 499
Opel Grandland,Opel,AZUL,Hybride essence rechargeable,Auto...,2023,2191,1.4,30,5,40 699
Audi Q3 Sportback,Audi,Noir Mythic,Hybride essence rechargeable,Auto...,2022,28145,1.8,44,5,46 499
Renault Zoé,Renault,,Electrique,Automatique,2018,31040,0.0,0,,10 499
Citroën C4,Citroën,Bleu Encre,Diesel,Manuelle,2015,123135,3.6,95,5,10 699
Citroën C4 Cactus,Citroën,Blanc Banquise,Diesel,Manuelle,2018,82691,3.5,97,5,12 999
Nissan Qashqai,Nissan,Gris Squale,Diesel,Manuelle,2017,97059,4.4,116,5,15 999
Citroën C4 Picasso,Citroën,Blanc Banquise,Essence,Automatique,2017,107602,5.1,115,5,12 999
Opel Corsa,Opel,Noir Perla Nera,Essence,Manuelle,2020,78838,4.2,96,5,13 499
Peugeot 108,Peugeot,Noir Metal,Essence,Manuelle,2017,54174,4.3,99,5,11 299
Nissan Juke,Nissan,Bleu Indigo,Diesel,Manuelle,2017,81328,4,104,5,13 399
Volkswagen Golf 7,Volkswagen,Blanc Pur,Diesel,Manuelle,2016,111890,4.1,103,5,14 999
Nissan Juke,Nissan,Blanc Lunaire,Diesel,Manuelle,2016,75119,4,107,5,13 199
Citroën C1,Citroën,Bleu Calvi/Toile Sunrise Red,Essence,Manuelle,2019,40342,3.7,93,5,12 399
Fiat 500,Fiat,Bleu Epic,Essence,Manuelle,2019,44173,5.1,109,3,11 999
DS DS3,DS,Blanc Banquise,Essence,Manuelle,2017,68125,4.5,104,3,12 199
Toyota Yaris,Toyota,Blanc Pur,Hybride essence,Automatique,2016,38201,3.6,82,5,15 999
Dacia Sandero,Dacia,Noir Nacre,Essence,Manuelle,2019,76640,6,125,5,10 999
Fiat 500X,Fiat,Noir Cinema,Diesel,Manuelle,2017,105000,4.1,109,5,13 999
Fiat Tipo,Fiat,Rouge Passione,Essence,Manuelle,2021,23295,5.3,122,4,14 499
Opel Mokka X,Opel,Gris Acier Satine,Essence,Manuelle,2019,41675,6.4,147,5,14 999
Ford Kuga,Ford,Blanc Platinium,Diesel,Manuelle,2016,90989,4.7,122,5,16 499
Fiat 500X,Fiat,Bianco,Diesel,Manuelle,2018,78785,4.1,107,5,14 199
Dacia Lodgy,Dacia,Beige Dune,Essence,Manuelle,2019,27925,5,141,5,18 236
Citroën C4 SPACETOURER,Citroën,Blanc Banquise,Essence,Manuelle,2018,60900,5.2,114,5,17 299
Opel Mokka X,Opel,Nero,Diesel,Manuelle,2017,78643,4.7,124,5,14 999
Ford Ecosport,Ford,Rouge Lucid,Essence,Manuelle,2020,29534,5,136,5,16 799
Nissan X-Trail,Nissan,Gris Argent,Diesel,Manuelle,2018,99308,5.4,143,5,17 999
Mercedes Classe A,Mercedes,Gris Montagne,Essence,Automatique,2018,77379,5.9,121,5,23 399
Renault Espace 5,Renault,Gris Cassiopée,Diesel,Automatique,2015,63293,4,120,5,18 999
Citroën GRAND C4 SPACETOURER,Citroën,,Diesel,Manuelle,2019,41585,,,,21 999
Audi A1 Sportback,Audi,Gris Flèche / Toit Noir,Essence,Manuelle,2022,7840,5.5,129,5,22 499
Audi Q2,Audi,Blanc Glacier,Essence,Manuelle,2018,49785,5.7,124,5,22 499
Ford Kuga,Ford,Blanc Glacier,Diesel,Manuelle,2018,76136,4.7,122,5,18 999
Dacia Dokker,Dacia,Blanc Glacier,Essence,Manuelle,2020,51761,6,153,5,15 999
Mini Mini,Mini,Midnight black,Essence,Automatique,2019,56694,4.9,117,5,19 699
Mercedes Classe B,Mercedes,Argent Polaire,Diesel,Automatique,2018,66923,5,141,5,21 499
Volkswagen Golf 8,Volkswagen,Reflet d'Argent métallisée,Diesel,Manuelle,2021,59004,4.5,118,5,22 199
BMW X2,BMW,Blanc Alpin,Essence,Automatique,2019,49530,5.7,129,5,25 999
Hyundai Kona,Hyundai,Galactic Grey,Hybride essence,Automatique,2020,47722,5,115,5,18 999
Mini Countryman,Mini,Lapis Luxury Blue Mini Yours,Hybride essence rechargeable,Auto...,2017,51038,2.4,49,5,24 999
Opel Grandland X,Opel,GRIGIO,Diesel,Automatique,2020,67800,5.4,145,5,19 399
Volkswagen T-Roc,Volkswagen,Jaune Curcuma,Essence,Manuelle,2020,40589,5.2,135,5,21 099
Ford Kuga,Ford,,Diesel,Automatique,2021,86057,,,,21 199
Audi Q2,Audi,,Essence,Manuelle,2021,20472,,,,23 799
Opel Astra,Opel,Blanc,Essence,Manuelle,2021,21400,5.4,126,4,19 499
Mini Countryman,Mini,Silver,Hybride essence rechargeable,Auto...,2020,103211,2.4,43,5,24 499
Citroën GRAND C4 SPACETOURER,Citroën,,Essence,Automatique,2021,30060,,,,23 799
Volkswagen T-Cross,Volkswagen,Smokey Grey Metallic,Essence,Automatique,2022,21020,6.6,141,5,21 999
Renault Grand Scénic 4,Renault,Bleu Cosmos,Essence,Manuelle,2021,35771,6,148,5,22 999
Opel Crossland,Opel,Argent,Essence,Manuelle,2020,25150,5.9,137,4,20 399
Peugeot 508 SW,Peugeot,Gris Artense,Hybride essence rechargeable,Auto...,2020,40156,6.6,31,5,28 199
Kia Sportage,Kia,Bleu,Hybride diesel,Manuelle,2021,38195,5,141,5,23 999
Mitsubishi ECLIPSE CROSS,Mitsubishi,Diamond Red,Hybride essence rechargeable,Auto...,2023,12040,2,46,5,32 999
Opel Mokka,Opel,Electric blue,Essence,Manuelle,2022,24717,5.5,124,5,22 399
Audi Q3,Audi,Blanc,Essence,Manuelle,2020,49971,5.1,149,5,30 099
Skoda Kamiq,Skoda,Bleu Metallique,Essence,Manuelle,2023,25182,5.7,123,5,22 299
Cupra Leon,Cupra,Blanc Candy,Hybride essence rechargeable,Auto...,2021,33322,1.4,30,5,25 399
Peugeot 508,Peugeot,Gris Platinium,Hybride essence rechargeable,Auto...,2020,28240,1.3,28,5,26 499
Volkswagen Taigo,Volkswagen,Rouge Roi,Essence,Automatique,2022,18666,5.9,136,5,25 599
DS DS7 CROSSBACK,DS,Noir Perla Nera,Essence,Automatique,2021,28395,5,157,5,32 499
Peugeot 208,Peugeot,Gris Aluminium,Essence,Manuelle,2016,92111,4.5,104,5,9 599
Peugeot 208,Peugeot,Rouge Rubi,Essence,Manuelle,2018,101670,4.5,104,5,9 999
Peugeot 208,Peugeot,Rouge Rubi,Essence,Manuelle,2015,5220,4.4,102,5,9 999
Dacia Duster,Dacia,Blanc Glacier,Diesel,Manuelle,2018,63056,4.4,115,5,14 999
Jeep Compass,Jeep,,Diesel,Manuelle,2022,21727,,,,27 899
Peugeot 3008,Peugeot,Metallic Copper/noir Perla Nera,Essence,Manuelle,2017,121709,5.5,124,5,15 499
BMW Série 3,BMW,,Hybride diesel,Automatique,2022,30331,,,,47 399
Peugeot 308,Peugeot,Gris Artense,Essence,Manuelle,2017,92392,4,105,5,11 499
DS DS4,DS,GREY,Essence,Automatique,2023,10897,6.2,138,5,29 999
Seat Ateca,Seat,Gris Graphite,Essence,Automatique,2022,10,6,149,5,30 000
Kia Xceed,Kia,,Hybride essence rechargeable,Auto...,2021,22988,,,,29 799
Cupra Formentor,Cupra,,Diesel,Manuelle,2022,7,,,,31 699
BMW X1,BMW,Mineralgrau,Essence,Automatique,2022,9220,5.8,149,5,35 999
Peugeot 508 SW,Peugeot,Noir Perla Nera (M),Hybride essence rechargeable,Auto...,2021,20529,1.3,30,5,34 799
Citroën C4,Citroën,Gris Platinium,Essence,Automatique,2016,108343,5.1,117,5,11 599
Volkswagen Touran,Volkswagen,Deep black (schwarz),Diesel,Automatique,2023,25185,5.6,143,5,35 417
Renault Mégane 4,Renault,Bleu berlin,Essence,Manuelle,2017,72490,5.4,120,5,13 599
Peugeot 208,Peugeot,Gris,Essence,Manuelle,2017,96800,3.9,104,5,9 999
Peugeot 108,Peugeot,Bleu Calvi,Essence,Manuelle,2019,47005,4.2,93,5,11 799
Renault Mégane 4,Renault,Blanc Glacier,Essence,Manuelle,2017,60244,5.4,120,5,13 299
Renault Kadjar,Renault,Gris Titanium,Essence,Manuelle,2018,50856,5,126,5,14 799
BMW X3,BMW,Sophistograu,Diesel,Automatique,2020,38447,4.9,163,5,38 199
Dacia Duster,Dacia,Blanc Glacier,Diesel,Manuelle,2017,81528,4.4,115,5,14 999
DS DS7,DS,Platinum Grey,Diesel,Automatique,2022,25,5.6,146,5,42 199
Citroën C3 Aircross,Citroën,Spicy Orange,Essence,Manuelle,2017,60343,5,115,5,12 499
Renault Twingo 3,Renault,Gris Lunaire,Essence,Manuelle,2017,28807,4.2,112,5,10 299
Audi Q5,Audi,Ibisweiß,Hybride essence rechargeable,Auto...,2021,22185,1.7,38,5,52 499
Opel Corsa,Opel,Bleu Nautique,Essence,Manuelle,2020,15181,5.1,125,5,14 999
Renault Zoé,Renault,,Electrique,Automatique,2020,31196,0.0,0,,10 499
Citroën C4 Picasso,Citroën,Gris Acier,Essence,Manuelle,2017,66985,5,115,5,13 499
Peugeot 308 SW,Peugeot,Blanc Nacré,Diesel,Manuelle,2017,109626,3.3,102,5,12 999
Renault Kangoo,Renault,,Diesel,Manuelle,2022,29505,,,,22 899
BMW X2,BMW,Phytonicblau Met,Hybride essence rechargeable,Auto...,2021,23898,1.7,40,5,40 099
Peugeot 3008,Peugeot,Blanc Banquise,Essence,Manuelle,2019,84733,5,118,5,16 499
Renault Scénic 4,Renault,Gris Platine / Toit Noir Etoilé,Diesel,Manuelle,2018,53023,4.5,116,5,16 999
Nissan Qashqai,Nissan,Cassis,Diesel,Manuelle,2019,79315,N/A,105,5,16 999
Nissan Juke,Nissan,,Essence,Automatique,2015,60453,,,,13 499
Volkswagen Golf 7,Volkswagen,Bleu Atlantique,Essence,Manuelle,2018,52768,4,109,5,15 999
Ford Kuga,Ford,White Platinum,Diesel,Manuelle,2017,100600,4.4,115,5,16 799
Volkswagen Polo,Volkswagen,Orange Energy,Essence,Manuelle,2018,27845,4.8,109,5,14 399
Renault Clio 5,Renault,Gris Platine,Essence,Manuelle,2021,20515,5.2,118,5,14 599
Jeep Renegade,Jeep,Jet Set Blue,Essence,Manuelle,2019,41043,7.1,130,5,17 499
Renault Mégane 4 Estate,Renault,Noir Etoile,Essence,Manuelle,2019,37128,5.2,125,5,17 999
Ford C-Max,Ford,,Diesel,Manuelle,2019,95884,,,,14 099
Ford Fiesta,Ford,Rouge Racing,Essence,Manuelle,2021,34660,4.1,115,5,13 499
Ford C-Max,Ford,Noir Shadow,Essence,Manuelle,2019,65093,5,129,5,14 999
Nissan Juke,Nissan,Blanc Lunaire,Essence,Manuelle,2017,32552,5.7,130,5,13 999
Seat Leon ST,Seat,Argento,Diesel,Manuelle,2019,94902,5,100,5,14 999
Ford C-Max,Ford,Gris Lunaire,Diesel,Automatique,2017,95358,4.2,109,5,13 799
Citroën C4 SPACETOURER,Citroën,Gris Platinium,Essence,Manuelle,2019,28085,5.1,114,5,18 799
Mercedes Classe A,Mercedes,Gris Montagne,Essence,Automatique,2019,51866,5.2,118,5,23 999
Dacia Lodgy,Dacia,Gris Comète,Essence,Manuelle,2020,7555,5,135,5,19 224
Renault Mégane 4 Estate,Renault,Gris Titanium,Diesel,Manuelle,2020,40460,3.9,120,5,17 999
Ford PUMA,Ford,Gris Solar,Diesel,Manuelle,2021,60312,4.5,119,5,18 999
DS DS3 CROSSBACK,DS,Gris Platinium,Electrique,Automatique,2020,30328,0.0,0,5,21 499
Nissan X-Trail,Nissan,Gris Squale,Diesel,Automatique,2017,65215,5.3,139,5,19 499
Renault Talisman,Renault,Noir,Diesel,Manuelle,2020,53906,4.2,136,4,18 499
Ford Focus,Ford,Gris Magnetic,Essence,Manuelle,2021,27210,7.2,117,5,20 499
Fiat 500X,Fiat,GRIGIO,Essence,Manuelle,2019,87522,5.8,133,5,14 499
Mercedes Classe B,Mercedes,Argent Polaire,Essence,Automatique,2018,34800,6.1,138,5,21 999
Dacia Dokker,Dacia,Blanc Glacier,Essence,Manuelle,2020,56511,6,153,5,15 999
Toyota Aygo X,Toyota,Gris Mineral,Essence,Manuelle,2023,544,4,109,5,15 899
Audi Q2,Audi,GRIGIO,Diesel,Automatique,2019,118994,6.1,134,5,24 199
Renault Mégane 4 Estate,Renault,Bleu Cosmos,Essence,Manuelle,2020,57871,5.2,148,5,18 155
Mini Mini,Mini,Midnight Black metallise,Diesel,Manuelle,2019,50445,3.9,102,5,19 699
DS DS7 CROSSBACK,DS,Blanc Crystal Pearl,Essence,Automatique,2021,45470,5,152,5,32 000
Audi A1 Sportback,Audi,Red,Essence,Manuelle,2022,17036,5.7,129,5,21 999
Volkswagen T-Roc,Volkswagen,Blanc Pur,Essence,Manuelle,2021,32185,6,138,5,21 399
Nissan X-Trail,Nissan,,Diesel,Manuelle,2019,88977,,,,20 869
BMW Série 1,BMW,BLU,Diesel,Automatique,2019,29951,4.4,115,5,21 999
Skoda Fabia,Skoda,GREY,Essence,Manuelle,2023,21684,5.3,118,5,20 299
Audi A3 Sportback,Audi,Gris Manhattan,Diesel,Manuelle,2020,15780,4.4,115,5,24 499
Hyundai Tucson,Hyundai,,Hybride diesel,Automatique,2020,51973,,,,23 999
DS DS7,DS,Cristal Pearl,Hybride essence rechargeable,Auto...,2023,16474,N/A,27,5,55 599
Renault Grand Scénic 4,Renault,Gris Cassiopée,Essence,Manuelle,2021,42892,6,150,5,22 999
Volkswagen T-Cross,Volkswagen,Reef Blue Metallic,Essence,Automatique,2022,28079,6.6,141,5,21 999
Opel Astra,Opel,Noir,Essence,Manuelle,2021,36350,5.5,121,4,20 799
Opel Mokka,Opel,White,Essence,Manuelle,2022,19238,5.5,124,5,22 399
Skoda Kamiq,Skoda,Black,Essence,Manuelle,2023,12321,5.7,123,5,22 694
Citroën Grand C4 Spacetourer,Citroën,,Diesel,Automatique,2020,51604,,,,26 099
Volvo XC40,Volvo,Noir Onyx,Hybride essence rechargeable,Auto...,2020,35751,N/A,47,5,37 999
Cupra Leon,Cupra,Blanc Candy,Hybride essence rechargeable,Auto...,2021,19498,1.4,30,5,26 399
Peugeot 208,Peugeot,Gris Platinium,Essence,Manuelle,2015,71515,4.5,104,5,9 699
Suzuki S-CROSS,Suzuki,Bleu Métallisé,Diesel,Automatique,2016,118501,4.6,119,5,12 999
Suzuki S-CROSS,Suzuki,Cosmic Black Pearl,Hybride essence,Manuelle,2023,991,5,120,5,24 999
Renault Espace 5,Renault,Marron Glacé,Diesel,Automatique,2015,107109,4.6,120,5,15 999
Peugeot 508,Peugeot,Gris Platinum,Hybride essence rechargeable,Auto...,2021,22551,1.3,29,5,27 499
Renault Clio 4,Renault,Blanc Glacier,Diesel,Manuelle,2016,61761,3,85,5,11 699
Dacia Sandero,Dacia,Bleu Azurite,Essence,Manuelle,2018,58032,5.2,117,5,10 299
Skoda Karoq,Skoda,GREY,Essence,Manuelle,2022,41042,6.5,140,5,27 499
Volkswagen Taigo,Volkswagen,Blanc Pur,Essence,Automatique,2022,3993,6.1,138,5,28 499
Peugeot 308 SW,Peugeot,Gris Artense,Diesel,Manuelle,2016,79621,3.3,102,5,13 999
Citroën C3,Citroën,Blanc Banquise,Essence,Manuelle,2017,101962,4.7,109,5,10 999
DS DS4,DS,Black,Essence,Automatique,2023,7895,6.2,138,5,30 399
Renault Clio 5,Renault,Orange Valencia,Diesel,Manuelle,2020,38256,4.2,110,5,14 499
Citroën C3,Citroën,Rouge Rubi,Essence,Manuelle,2019,79219,4.7,108,5,10 999
Kia XCEED,Kia,Noir Basalte,Hybride essence rechargeable,Auto...,2022,3410,1,32,5,30 499
Ford Ecosport,Ford,Blanc Glacier,Essence,Manuelle,2021,76993,5,136,5,13 999
Renault Clio 4,Renault,Bleu de France,Essence,Automatique,2015,80965,5.2,120,5,12 199
Cupra Formentor,Cupra,Blanc,Diesel,Automatique,2022,29900,6,155,4,33 299
Jeep Compass,Jeep,,Essence,Automatique,2022,25,,,,32 099
Citroën C4,Citroën,Gris Acier,Diesel,Manuelle,2016,111950,3.6,95,5,10 999
Citroën C3 Aircross,Citroën,Misty Grey,Essence,Manuelle,2018,64914,5,115,5,12 499
Fiat 500,Fiat,Pasodoble Red,Essence,Automatique,2016,49595,4.8,111,3,12 699
Peugeot 5008,Peugeot,Beige Pyrite,Essence,Manuelle,2017,90678,5.2,117,5,18 999
Tesla MODEL 3,Tesla,Noir,Electrique,Automatique,2021,24223,0.0,0,4,35 699
Volkswagen Passat SW,Volkswagen,Deep black (schwarz),Diesel,Automatique,2020,19185,6.3,160,5,34 599
Ford Fiesta,Ford,Blanc Glacier,Essence,Manuelle,2018,68219,4.3,97,5,12 299
Renault Zoé,Renault,Bleu Celadon,Electrique,Automatique,2019,38278,0.0,0,5,10 999
Seat Leon ST,Seat,GRIGIO,Diesel,Manuelle,2019,87756,5,100,5,13 999
Dacia Sandero,Dacia,Blanc Glacier,Essence,Manuelle,2016,27837,4.9,109,5,10 999
Opel Crossland,Opel,Gris Quartz,Diesel,Automatique,2022,18953,5,130,5,19 099
Volkswagen Touran,Volkswagen,Atlantik blue (blau),Diesel,Automatique,2021,27160,5.6,143,5,30 673
Audi Q5,Audi,Gris Manhattan,Hybride essence rechargeable,Auto...,2020,49303,2.2,56,5,43 999
Toyota C-HR,Toyota,,Hybride essence,Automatique,2020,101880,,,,20 499
Nissan Micra,Nissan,Rouge Passion,Essence,Automatique,2022,4845,N/A,137,5,15 999
Opel Grandland X,Opel,Gris Quartz,Essence,Manuelle,2020,43227,5.2,113,5,19 299
DS DS3,DS,Blanc Nacré /Toit Whisper,Essence,Manuelle,2016,96147,4.5,105,3,11 999
Renault Mégane 4,Renault,Bleu berlin,Essence,Manuelle,2019,32509,5.3,120,5,13 999
Renault Scénic 4,Renault,,Diesel,Manuelle,2018,47680,,,,15 499
Hyundai Tucson,Hyundai,Sunset Red,Hybride diesel,Manuelle,2020,91732,4.1,135,5,20 099
Fiat 500X,Fiat,,Essence,Manuelle,2021,17725,,,,15 799
Kia Sportage,Kia,Gris Canyon,Diesel,Manuelle,2020,27630,4.8,124,5,22 999
DS DS7 CROSSBACK,DS,Cristal Pearl,Hybride essence rechargeable,Auto...,2020,58284,1.5,33,5,33 999
BMW Série 1,BMW,Noir Sapphire Métallisée,Essence,Automatique,2018,50243,6,132,5,25 499
Opel Grandland X,Opel,Gris Artense,Diesel,Manuelle,2020,35709,4.1,136,5,19 499
Volvo XC40,Volvo,Bleu Denim,Hybride essence rechargeable,Auto...,2022,20361,2.1,49,5,44 999
Volkswagen Golf 8,Volkswagen,Mondsteingrau,Hybride essence rechargeable,Auto...,2020,42820,1,23,4,24 099
Ford Focus,Ford,,Diesel,Automatique,2020,51760,,,,20 399
Peugeot RIFTER,Peugeot,Noir Onyx,Diesel,Manuelle,2018,91727,5.5,113,5,18 699
Hyundai Kona,Hyundai,CHALK WHITE,Essence,Automatique,2021,13021,7,153,5,22 999
Mercedes Classe A,Mercedes,Noir Cosmos,Diesel,Manuelle,2021,22232,5.2,133,5,25 999
BMW Série 1,BMW,,Diesel,Automatique,2020,54934,,,,22 399
Volkswagen T-Cross,Volkswagen,Makena Turquoise Premium Metallic,Essence,Automatique,2022,21332,6.6,141,5,21 999
Volkswagen Tiguan,Volkswagen,Silver,Diesel,Automatique,2019,85184,6.2,128,5,25 399
Audi A3 Sportback,Audi,Blanc Ibis,Essence,Manuelle,2020,33000,5.9,137,5,25 599
Citroën C3 Aircross,Citroën,Nautile,Essence,Manuelle,2018,71184,5,116,5,12 699
DS DS3 CROSSBACK,DS,Bleu Millenium,Essence,Automatique,2022,25080,6,143,5,23 299
Opel Astra,Opel,Blanc,Essence,Manuelle,2021,13450,5.5,128,4,21 399
Opel Mokka,Opel,Gris,Essence,Manuelle,2021,6250,5.5,125,4,22 999
Citroën Grand C4 Spacetourer,Citroën,Bleu Foret (N),Diesel,Manuelle,2022,15625,4.9,130,5,26 299
Citroën C3,Citroën,Blanc Banquise,Essence,Manuelle,2018,84509,4.7,109,5,11 799
Renault Captur,Renault,Gris Platine / Toit Noir Etoilé,Diesel,Manuelle,2016,95893,3.6,95,5,12 499
Mercedes Classe B,Mercedes,GRIGIO,Diesel,Automatique,2019,41285,4.9,101,5,23 699
Jeep Compass,Jeep,Techno Green,Hybride essence rechargeable,Auto...,2022,22695,N/A,45,5,32 899
Hyundai Tucson,Hyundai,,Hybride essence rechargeable,Auto...,2021,68822,,,,27 399
Renault Twingo 3,Renault,Noir Etoile,Essence,Manuelle,2018,26853,5.5,125,5,10 599
Cupra Leon,Cupra,Blanc Candy,Hybride essence rechargeable,Auto...,2021,19502,1.4,30,5,26 399
Audi Q2,Audi,Gris Nano,Essence,Automatique,2020,55974,6,152,5,28 499
Dacia Duster,Dacia,Bleu Cosmos,Diesel,Manuelle,2018,69380,4.9,115,5,15 299
Peugeot 508,Peugeot,Gris Platinium (M),Hybride essence rechargeable,Auto...,2021,36849,1.3,28,4,28 199
Mercedes GLA,Mercedes,Gris Montagne,Essence,Automatique,2019,40777,6,142,5,28 499
Ford Kuga,Ford,,Hybride essence,Automatique,2022,34276,,,,29 499
Skoda Karoq,Skoda,GREY,Essence,Manuelle,2022,41259,6.5,140,5,27 499
Citroën C4 Cactus,Citroën,Violet Noctambule,Essence,Manuelle,2019,67810,4.6,106,5,14 299
DS DS7 CROSSBACK,DS,Blanc Nacré,Essence,Automatique,2022,25213,5,157,5,33 899
Volkswagen TAIGO,Volkswagen,Gris Cendre,Essence,Automatique,2022,2100,6.1,138,5,28 999
Peugeot 308,Peugeot,Gris Artense,Essence,Manuelle,2018,49520,4.7,113,5,13 499
Dacia Duster,Dacia,Gris Comète,Diesel,Manuelle,2020,49490,4.9,129,5,15 499
Citroën C4,Citroën,Blanc Banquise,Essence,Manuelle,2015,99681,4,110,5,11 399
Audi Q3,Audi,,Hybride essence,Automatique,2022,21777,,,,32 099
Fiat 500,Fiat,Opéra Bordeaux,Essence,Manuelle,2019,30771,5.1,109,3,12 799
Peugeot 5008,Peugeot,,Diesel,Manuelle,2019,78252,,,,19 999
Opel Corsa,Opel,Gris Artense,Essence,Automatique,2020,68925,4.3,133,5,15 999
Kia Xceed,Kia,,Hybride essence rechargeable,Auto...,2022,30520,,,,30 299
Renault Twingo 3,Renault,Blanc Cristal,Essence,Manuelle,2020,27821,5,120,5,10 699
Mini Countryman,Mini,Midnight Black Ii / Toit Blanc,Essence,Automatique,2022,6965,6.4,147,5,32 199
Peugeot 108,Peugeot,Blanc Lipizan,Essence,Manuelle,2020,13642,4.8,111,5,12 499
Citroën C4 Picasso,Citroën,Gris Platinium,Diesel,Automatique,2017,108289,3.9,103,5,15 299
Cupra Formentor,Cupra,Bleu,Diesel,Automatique,2022,19300,6,161,4,34 899
Volkswagen Golf 7,Volkswagen,Reflet d'Argent,Diesel,Automatique,2016,74283,3.9,104,5,16 499
Renault Clio 4,Renault,Rouge Intens,Diesel,Manuelle,2016,63638,3.5,90,5,12 799
Peugeot 3008,Peugeot,,Diesel,Manuelle,2018,130500,,,,16 299
Nissan Micra,Nissan,Gris Platine,Essence,Manuelle,2022,27221,5,121,5,14 499
Mini Mini,Mini,Chili Red,Essence,Manuelle,2019,52098,5,122,3,19 999
Citroën C4 Picasso,Citroën,Gris Acier,Essence,Automatique,2018,91540,5.1,115,5,14 599
Opel Crossland,Opel,,Diesel,Manuelle,2022,23338,,,,19 499
BMW X1,BMW,Mineralweiss,Essence,Automatique,2019,74400,5.1,129,5,24 099
