Name,Brand,Color,Fuel,Gearbox,Year,Km,Fuel_consumption,Co2_emission,Doors,Price
Citroën C4 SPACETOURER,Citroën,Blanc Banquise,Essence,Manuelle,2019,76630,5.2,114,5,15 199
Citroën Grand C4 Picasso,Citroën,Rouge Rubi,Essence,Manuelle,2016,59940,5,115,5,15 999
Opel Crossland,Opel,Gris Pierre de Lune,Essence,Manuelle,2022,15245,5,133,5,14 599
Ford Focus SW,Ford,Gris Magnetic,Essence,Manuelle,2017,43993,4.8,110,5,14 499
Volkswagen Golf Sportsvan,Volkswagen,Argento,Diesel,Manuelle,2017,99048,4.2,110,5,14 799
Skoda KAMIQ,Skoda,Bleu Energie,Essence,Manuelle,2020,64144,5.6,128,5,14 999
Seat Leon X-Perience,Seat,Blanc Candy,Diesel,Automatique,2015,129273,5.4,129,5,13 999
Infiniti Q30,Infiniti,Noir,Diesel,Manuelle,2016,97819,4.1,108,5,13 999
Abarth 595C,Abarth,Noir Scorpione,Essence,Automatique,2015,62100,5.8,134,2,14 499
BMW Série 2 Active Tourer,BMW,BLU,Diesel,Manuelle,2019,117790,4.8,104,5,15 999
Jeep Renegade,Jeep,Rouge,Essence,Manuelle,2021,39705,6.4,145,5,16 799
Fiat 500L,Fiat,Nero,Diesel,Manuelle,2018,78829,4.3,114,5,13 999
Volvo V40 Cross Country,Volvo,Bleu Baltique,Diesel,Manuelle,2017,119182,3.8,96,5,14 999
Hyundai i30 SW,Hyundai,Pepper Gray,Essence,Manuelle,2019,126612,5.2,123,5,14 499
Opel Grandland X,Opel,VIOLET AMETHYSTE,Essence,Manuelle,2019,64088,5,118,5,16 999
Opel Astra,Opel,Gris Cosmique,Essence,Automatique,2018,79955,6,157,5,14 399
BMW X1,BMW,Alpinweiss,Diesel,Manuelle,2016,113587,3.9,104,5,17 799
Toyota Corolla,Toyota,Gris Aluminium,Hybride essence,Automatique,2019,101964,3,76,5,17 999
Citroën Berlingo,Citroën,Blanc Banquise,Essence,Manuelle,2019,82637,5,119,5,18 499
DS DS3 CROSSBACK,DS,,Essence,Manuelle,2019,48739,,,,18 299
Toyota Prius,Toyota,Bleu Métallisé,Hybride essence rechargeable,Auto...,2013,91165,4.1,49,5,15 999
Peugeot RCZ,Peugeot,Gris Sidobre,Diesel,Manuelle,2015,106484,5,130,2,15 299
Peugeot RIFTER,Peugeot,Gris Artense,Essence,Manuelle,2019,82767,5.5,119,5,17 999
Kia Cee'd,Kia,Deluxe White,Essence,Manuelle,2016,80701,4.9,115,5,15 499
Honda Civic,Honda,Blanc Orchidée,Essence,Manuelle,2017,110589,5.1,117,5,15 499
Volkswagen Coccinelle,Volkswagen,Blanc Pur/Toit Noir Uni,Essence,Automatique,2014,90591,6.2,143,3,15 999
Abarth 595,Abarth,Gris Record,Essence,Manuelle,2018,25764,6,139,3,16 299
Volkswagen Passat SW,Volkswagen,Gris Indium,Diesel,Manuelle,2016,91905,3.8,95,5,16 499
Honda HR-V,Honda,Gris,Essence,Automatique,2016,78397,5.4,120,5,16 599
Jeep Compass,Jeep,,Diesel,Manuelle,2017,109364,,,,17 499
